City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
Marrakesh,31.63,-8.01,50.0,100,100,4.7,light rain,MA
Saint-Georges,12.06,-61.75,77.0,88,40,9.17,light rain,GD
Kieta,-6.22,155.63,82.54,71,63,5.95,light rain,PG
Luderitz,-26.65,15.16,66.45,61,21,15.88,few clouds,NA
Iskateley,67.68,53.15,16.05,96,85,14.65,overcast clouds,RU
Kruisfontein,-34.0,24.73,66.99,71,97,4.0,overcast clouds,ZA
Khatanga,71.97,102.5,24.42,98,100,9.13,light snow,RU
Ushuaia,-54.8,-68.3,50.0,66,75,8.05,broken clouds,AR
Geraldton,-28.77,114.6,75.2,50,0,24.16,clear sky,AU
Nikolskoye,59.7,30.79,35.6,86,90,8.95,mist,RU
Saint-Philippe,-21.36,55.77,84.2,66,75,11.41,broken clouds,RE
Kapaa,22.08,-159.32,77.0,88,90,14.99,light rain,US
Carnarvon,-24.87,113.63,78.8,54,69,26.4,broken clouds,AU
Naze,28.37,129.48,68.0,88,75,18.34,light intensity shower rain,JP
Chuchkovo,54.27,41.45,19.35,82,0,9.86,clear sky,RU
Upernavik,72.79,-56.15,10.99,96,100,15.99,light snow,GL
Thatta,24.75,67.92,86.81,35,0,6.31,clear sky,PK
Leningradskiy,69.38,178.42,14.54,87,70,5.97,broken clouds,RU
Grindavik,63.84,-22.43,19.4,67,0,6.93,clear sky,IS
San Ramon,37.78,-121.98,53.01,52,1,2.62,clear sky,US
Ust-Kishert,57.37,57.25,10.13,93,0,1.68,clear sky,RU
Khandagayty,50.73,92.05,6.87,87,2,2.48,clear sky,RU
Hermanus,-34.42,19.23,70.0,59,20,11.01,few clouds,ZA
Ixtapa,20.7,-105.2,71.01,100,95,1.99,overcast clouds,MX
Harper,4.38,-7.72,78.26,86,100,7.45,overcast clouds,LR
Cherskiy,68.75,161.3,-8.54,78,2,5.73,clear sky,RU
Thunder Bay,48.4,-89.32,10.4,92,5,3.36,clear sky,CA
Pisco,-13.7,-76.22,64.4,88,0,11.41,clear sky,PE
Mar Del Plata,-38.0,-57.56,54.0,70,75,3.36,broken clouds,AR
Ramachandrapuram,16.85,82.02,86.0,48,0,11.41,clear sky,IN
Kavieng,-2.57,150.8,84.54,67,82,8.97,broken clouds,PG
Narsaq,60.92,-46.05,42.8,30,100,13.87,snow,GL
Bredasdorp,-34.53,20.04,69.8,52,93,19.46,overcast clouds,ZA
Vaini,-21.2,-175.2,77.0,83,75,6.93,broken clouds,TO
Wolfsburg,52.43,10.8,33.01,86,94,1.12,overcast clouds,DE
Ayolas,-27.4,-56.9,65.01,76,7,8.79,clear sky,PY
Torbay,47.67,-52.73,37.0,85,40,5.82,scattered clouds,CA
Jacareacanga,-6.22,-57.75,73.4,90,99,0.65,overcast clouds,BR
Portland,45.52,-122.68,45.0,65,1,12.75,clear sky,US
Nieuw Amsterdam,5.88,-55.08,77.0,92,2,5.99,clear sky,SR
Nouakchott,18.09,-15.98,68.0,49,8,12.75,clear sky,MR
Cidreira,-30.18,-50.21,65.98,76,63,10.2,broken clouds,BR
Klaksvik,62.23,-6.59,37.4,93,100,10.29,light rain,FO
Ilulissat,69.22,-51.1,35.6,64,100,12.75,overcast clouds,GL
Okha,53.57,142.95,15.85,96,87,14.83,overcast clouds,RU
Manitouwadge,49.12,-85.84,14.0,85,62,4.7,broken clouds,CA
Puerto Escondido,15.85,-97.07,76.71,80,87,4.59,overcast clouds,MX
Ancud,-41.87,-73.82,50.0,76,0,9.17,clear sky,CL
Butaritari,3.07,172.79,82.08,77,14,9.4,few clouds,KI
Aswan,24.09,32.91,69.93,25,72,0.51,broken clouds,EG
Vao,-22.67,167.48,75.24,81,0,17.85,clear sky,NC
Provideniya,64.38,-173.3,15.6,89,0,4.0,clear sky,RU
Qaanaaq,77.48,-69.36,-13.14,70,0,6.96,clear sky,GL
Saint-Joseph,-21.37,55.62,84.2,66,75,11.41,broken clouds,RE
Kaniama,-7.57,24.18,69.49,93,100,2.48,overcast clouds,CD
Broome,42.25,-75.83,37.99,69,90,5.82,overcast clouds,US
Jamestown,42.1,-79.24,35.01,100,90,5.82,overcast clouds,US
Xingyi,24.19,102.82,53.83,74,94,6.58,overcast clouds,CN
Cape Town,-33.93,18.42,73.4,43,0,5.82,clear sky,ZA
Obo,5.4,26.49,84.09,44,100,1.32,overcast clouds,CF
Ous,60.91,61.52,17.73,87,0,4.76,clear sky,RU
Churapcha,62.0,132.43,-7.19,91,100,7.02,overcast clouds,RU
Lhokseumawe,5.18,97.15,78.13,85,97,3.0,moderate rain,ID
Meulaboh,4.14,96.13,73.76,96,100,7.34,overcast clouds,ID
Samarai,-10.62,150.67,83.66,75,100,6.67,overcast clouds,PG
Kalmunai,7.42,81.82,85.75,68,78,2.86,broken clouds,LK
Vokhtoga,58.81,41.05,22.46,95,100,8.88,overcast clouds,RU
Sitka,57.05,-135.33,46.4,87,90,8.05,light rain,US
Bahia Blanca,-38.72,-62.27,50.74,60,0,7.11,clear sky,AR
Oistins,13.07,-59.53,77.0,88,20,14.99,shower rain,BB
Saldanha,-33.01,17.94,73.4,43,0,4.7,clear sky,ZA
Umba,66.69,34.34,29.52,98,100,14.12,light snow,RU
Taoudenni,22.68,-3.98,63.23,43,100,9.35,overcast clouds,ML
Atuona,-9.8,-139.03,78.37,73,1,18.59,clear sky,PF
Kuznechnoye,61.12,29.87,34.0,88,100,9.57,overcast clouds,RU
Amalner,21.05,75.07,87.12,22,81,5.32,broken clouds,IN
Peniche,39.36,-9.38,46.0,87,100,3.0,overcast clouds,PT
Moranbah,-22.0,148.05,99.64,15,0,13.4,clear sky,AU
Poum,-20.23,164.02,78.46,77,7,14.47,clear sky,NC
Anadyr,64.75,177.48,26.6,73,0,17.9,clear sky,RU
San Cristobal,7.77,-72.22,62.4,83,5,1.45,clear sky,VE
Harboore,56.62,8.18,39.99,96,100,15.82,overcast clouds,DK
Carutapera,-1.2,-46.02,77.67,88,98,5.64,overcast clouds,BR
Saint-Augustin,51.23,-58.65,35.51,97,100,7.58,light rain,CA
Kharan,28.58,65.42,63.57,36,0,3.09,clear sky,PK
Aden,12.78,45.04,78.8,74,12,10.11,few clouds,YE
Norfolk,42.17,-71.25,46.0,100,100,12.75,overcast clouds,US
Saint-Louis,16.33,-15.0,69.8,60,0,2.24,clear sky,SN
Lebu,-37.62,-73.65,52.47,89,60,11.63,broken clouds,CL
Rio Grande,-32.03,-52.1,57.99,80,31,3.0,scattered clouds,BR
Scarborough,54.28,-0.4,41.0,79,100,9.98,overcast clouds,GB
Port Elizabeth,-33.92,25.57,66.2,77,75,16.11,broken clouds,ZA
Nuuk,64.18,-51.72,32.0,97,100,32.21,snow,GL
Mahebourg,-20.41,57.7,84.2,62,40,12.75,scattered clouds,MU
Port Blair,11.67,92.75,83.35,72,66,15.3,broken clouds,IN
Padang,-0.95,100.35,86.22,59,100,8.59,moderate rain,ID
Terrace,54.52,-128.6,39.2,100,90,3.36,moderate rain,CA
Nador,35.17,-2.93,50.0,75,40,18.34,light rain,MA
Pointe Michel,15.25,-61.38,76.57,72,4,8.21,clear sky,DM
Souillac,-20.52,57.52,84.2,62,40,12.75,scattered clouds,MU
Riyadh,24.69,46.72,66.2,77,75,6.93,broken clouds,SA
Nueve De Julio,-35.44,-60.88,46.0,79,0,3.0,clear sky,AR
Sungaipenuh,-2.08,101.38,79.84,54,100,6.69,moderate rain,ID
Taywarah,33.35,64.42,38.46,59,0,6.58,clear sky,AF
Haines Junction,60.75,-137.51,12.2,78,100,4.7,light snow,CA
Tautira,-17.73,-149.15,80.01,78,40,5.82,scattered clouds,PF
Pavlodar,52.3,76.95,-2.2,77,20,6.71,few clouds,KZ
Binga,-17.62,27.34,74.07,80,86,9.35,light rain,ZW
Sabang,5.89,95.32,78.19,89,100,11.68,overcast clouds,ID
Kodinsk,58.69,99.18,3.78,90,95,5.5,overcast clouds,RU
Guiyang,26.58,106.72,42.8,70,90,2.24,overcast clouds,CN
Sambava,-14.27,50.17,84.43,57,39,10.25,scattered clouds,MG
Mendota,36.75,-120.38,51.01,56,1,5.82,clear sky,US
Castro,-24.79,-50.01,63.37,96,100,8.01,moderate rain,BR
Zhangjiakou,40.81,114.88,21.27,71,0,1.34,clear sky,CN
Puerto Ayora,-0.74,-90.35,68.0,93,79,7.74,broken clouds,EC
Banff,51.18,-115.57,33.8,73,100,5.82,overcast clouds,CA
Maniitsoq,65.42,-52.9,31.59,99,100,17.63,snow,GL
Goderich,43.75,-81.72,33.8,85,98,2.24,light snow,CA
Freetown,8.48,-13.23,79.09,83,73,5.53,light rain,SL
Ullapool,57.9,-5.16,43.0,65,100,8.99,overcast clouds,GB
Ponta Do Sol,32.67,-17.1,57.2,76,75,8.05,light intensity shower rain,PT
Pevek,69.7,170.31,1.81,90,0,11.25,clear sky,RU
Macvanska Mitrovica,44.97,19.6,41.0,84,50,5.99,scattered clouds,RS
Inuvik,68.35,-133.72,-0.4,84,0,4.7,clear sky,CA
Georgetown,5.41,100.34,86.0,66,20,4.7,few clouds,MY
Dingle,11.0,122.67,84.51,80,99,7.58,light rain,PH
Nome,64.5,-165.41,21.2,85,90,12.75,overcast clouds,US
Orlik,52.52,99.83,1.53,86,94,0.36,overcast clouds,RU
Tateyama,34.98,139.87,48.2,93,75,8.05,mist,JP
Ruteng,-8.61,120.47,69.31,100,100,1.81,moderate rain,ID
Atikokan,48.76,-91.62,18.05,96,100,1.66,overcast clouds,CA
Pitimbu,-7.47,-34.81,77.0,88,40,9.17,scattered clouds,BR
Tevaitoa,-16.78,-151.5,81.01,77,100,19.42,moderate rain,PF
Gold Coast,-28.0,153.43,82.0,74,0,17.22,light rain,AU
Paranaiba,-19.68,-51.19,72.32,91,0,2.91,heavy intensity rain,BR
Cabo San Lucas,22.89,-109.91,57.0,71,0,1.01,clear sky,MX
Auki,-8.77,160.7,81.05,76,100,1.48,overcast clouds,SB
Airai,-8.93,125.41,67.66,100,100,0.76,very heavy rain,TL
East London,-33.02,27.91,66.2,77,20,12.75,light rain,ZA
Jalingo,8.88,11.37,79.38,23,25,1.66,scattered clouds,NG
Cockburn Town,21.46,-71.14,78.94,78,0,14.63,light rain,TC
Kahului,20.89,-156.47,78.8,69,1,20.8,clear sky,US
Sur,22.57,59.53,83.03,44,0,5.59,clear sky,OM
Tasiilaq,65.61,-37.64,23.0,67,100,3.36,overcast clouds,GL
Upala,10.9,-85.01,73.71,92,89,4.65,overcast clouds,CR
Guayaramerin,-10.84,-65.36,73.81,90,100,2.33,overcast clouds,BO
Novaya Igirma,57.13,103.91,4.5,91,74,5.57,broken clouds,RU
Olmos,-5.98,-79.75,64.99,89,100,2.82,overcast clouds,PE
Bubaque,11.28,-15.83,80.04,55,70,11.56,broken clouds,GW
Tello,3.07,-75.14,70.03,74,100,1.66,overcast clouds,CO
Port Macquarie,-31.43,152.92,80.01,73,100,17.34,overcast clouds,AU
Iqaluit,63.75,-68.51,19.4,79,75,9.17,broken clouds,CA
Uyuni,-20.46,-66.83,48.54,63,100,9.26,overcast clouds,BO
Huarmey,-10.07,-78.15,66.96,79,100,8.23,overcast clouds,PE
Kavaratti,10.57,72.64,86.0,74,75,13.87,light rain,IN
Along,28.17,94.77,71.17,52,90,1.03,overcast clouds,IN
Chegdomyn,51.12,133.02,5.47,92,71,2.06,broken clouds,RU
Mairi,-11.71,-40.15,71.49,84,100,6.8,overcast clouds,BR
Saint George,37.1,-113.58,35.6,24,1,3.36,clear sky,US
Pozo Colorado,-23.49,-58.8,69.3,86,100,7.87,overcast clouds,PY
Dikson,73.51,80.55,25.9,96,100,31.27,light snow,RU
Coquimbo,-29.95,-71.34,55.4,87,4,3.36,clear sky,CL
Lermontovka,47.15,134.34,15.89,94,88,5.35,overcast clouds,RU
Mahuva,21.09,71.76,86.0,29,0,7.99,clear sky,IN
Carmen,18.63,-91.83,73.38,92,100,7.31,overcast clouds,MX
Chapais,49.78,-74.85,15.8,92,90,5.82,light snow,CA
Kamenka,51.32,42.77,16.68,84,0,8.59,clear sky,RU
Lazaro Cardenas,17.96,-102.2,74.12,83,10,4.27,clear sky,MX
Dothan,31.22,-85.39,42.8,81,1,5.82,clear sky,US
Mutsu,41.29,141.22,45.0,60,40,6.93,scattered clouds,JP
High Level,58.52,-117.14,19.4,100,20,3.36,mist,CA
Garango,11.8,-0.55,74.59,23,80,4.05,broken clouds,BF
Bilma,18.69,12.92,75.15,19,0,3.04,clear sky,NE
Saint-Pierre,-21.34,55.48,84.2,66,75,11.41,broken clouds,RE
Paramonga,-10.67,-77.83,65.53,82,100,6.02,overcast clouds,PE
Kaitong,44.81,123.15,22.21,80,0,7.27,clear sky,CN
Tiksi,71.69,128.87,-6.2,89,100,6.24,overcast clouds,RU
Jerez,14.1,-89.75,64.24,94,100,4.38,overcast clouds,GT
Nanga Eboko,4.68,12.37,75.24,73,93,3.0,overcast clouds,CM
Nelson,-41.28,173.28,60.01,55,54,1.99,light rain,NZ
Fallon,39.47,-118.78,24.8,58,40,4.7,scattered clouds,US
Muisne,0.6,-80.03,75.87,87,100,8.3,light rain,EC
Kaitangata,-46.28,169.85,55.0,74,1,11.99,clear sky,NZ
Kedrovyy,56.17,91.82,6.8,77,37,2.24,scattered clouds,RU
Moog,8.6,124.47,84.0,82,93,5.01,overcast clouds,PH
Kutum,14.2,24.67,69.08,23,1,8.14,clear sky,SD
Berlevag,70.86,29.09,31.23,95,77,22.79,broken clouds,NO
Kenai,60.55,-151.26,-0.4,77,1,3.36,clear sky,US
Severnoye,56.35,78.36,6.57,93,14,1.59,few clouds,RU
Cadereyta,25.58,-99.98,50.0,62,5,5.82,clear sky,MX
Morondava,-20.28,44.28,86.49,57,0,5.39,clear sky,MG
Moose Factory,51.26,-80.61,21.2,92,90,10.29,overcast clouds,CA
Pailitas,8.96,-73.63,72.88,85,68,2.33,broken clouds,CO
Strelka,58.07,93.03,0.43,91,100,4.54,overcast clouds,RU
Raseiniai,55.37,23.12,41.0,93,90,21.92,overcast clouds,LT
Nhulunbuy,-12.23,136.77,80.6,88,75,8.05,moderate rain,AU
Lata,40.16,-8.33,44.01,94,100,2.55,overcast clouds,PT
Thinadhoo,0.53,72.93,82.85,76,0,19.64,clear sky,MV
Vila Velha,-20.33,-40.29,78.8,83,75,9.17,light rain,BR
Yulara,-25.24,130.99,100.4,22,96,10.29,overcast clouds,AU
Fortuna,40.6,-124.16,46.0,87,1,6.93,clear sky,US
Tarko-Sale,64.92,77.78,5.22,94,13,14.9,few clouds,RU
Anchorage,61.22,-149.9,12.2,85,90,4.27,overcast clouds,US
Saryozek,44.36,77.98,25.47,97,99,10.54,overcast clouds,KZ
San Lawrenz,36.06,14.2,66.0,68,20,12.75,few clouds,MT
Guerrero Negro,27.98,-114.06,56.57,41,0,6.93,clear sky,MX
Okhotsk,59.38,143.3,-1.07,85,100,11.32,overcast clouds,RU
Boa Vista,2.82,-60.67,77.0,83,0,2.24,clear sky,BR
Rawson,-43.3,-65.1,57.07,57,0,22.21,clear sky,AR
Samarinda,-0.5,117.15,93.74,45,67,4.56,broken clouds,ID
Nyurba,63.28,118.33,-13.81,88,0,7.54,clear sky,RU
Tucson,32.22,-110.93,46.4,22,1,5.82,clear sky,US
Surt,31.21,16.59,62.58,53,43,15.37,scattered clouds,LY
Bambous Virieux,-20.34,57.76,84.2,62,40,12.75,scattered clouds,MU
Skelleftea,64.75,20.95,33.01,96,100,2.24,overcast clouds,SE
Faya,18.39,42.45,66.2,77,0,9.17,clear sky,SA
Chamba,32.57,76.13,66.56,26,14,6.11,few clouds,IN
Rabo De Peixe,37.8,-25.58,57.2,67,20,10.29,few clouds,PT
Ewa Beach,21.32,-158.01,78.8,69,1,3.36,clear sky,US
Yinchuan,38.47,106.27,27.81,88,0,4.23,clear sky,CN
Sivas,39.79,37.0,28.4,92,0,6.93,clear sky,TR
Am Timan,11.03,20.28,79.34,20,0,4.43,clear sky,TD
Urumqi,43.8,87.6,15.8,72,100,2.24,mist,CN
Namibe,-15.2,12.15,67.28,70,6,5.79,clear sky,AO
Antofagasta,-23.65,-70.4,60.8,72,0,2.24,clear sky,CL
San Patricio,28.02,-97.52,46.4,87,1,4.97,clear sky,US
Pangnirtung,66.15,-65.71,16.99,86,100,5.73,overcast clouds,CA
Zemio,5.03,25.14,83.16,51,88,2.82,overcast clouds,CF
Brae,60.4,-1.35,44.6,81,75,16.11,light rain,GB
Colares,38.8,-9.45,45.0,87,20,8.05,few clouds,PT
Aragarcas,-15.9,-52.25,76.75,68,87,2.98,overcast clouds,BR
Waingapu,-9.66,120.26,86.34,67,83,6.29,moderate rain,ID
Jiexiu,37.02,111.91,34.21,73,100,3.38,overcast clouds,CN
Thompson,55.74,-97.86,12.2,92,90,4.27,overcast clouds,CA
Zarubino,42.63,131.09,34.32,73,0,15.97,clear sky,RU
Lavrentiya,65.58,-171.0,11.41,85,24,3.38,few clouds,RU
Lagoa,39.05,-27.98,61.32,71,100,11.72,overcast clouds,PT
Onega,63.91,38.14,27.1,96,100,11.54,light snow,RU
Cusuna,15.85,-85.23,72.91,91,62,4.27,broken clouds,HN
Lahaina,20.88,-156.68,78.8,69,1,20.8,clear sky,US
Hasaki,35.73,140.83,45.0,93,75,10.29,mist,JP
Norman Wells,65.28,-126.83,14.0,85,75,0.76,light snow,CA
Omsukchan,62.53,155.8,-6.47,87,16,4.68,few clouds,RU
Marsa Matruh,31.35,27.25,53.6,81,20,10.6,few clouds,EG
Tupik,54.43,119.93,9.59,88,100,1.72,overcast clouds,RU
Maningrida,-12.07,134.27,87.75,62,100,11.86,moderate rain,AU
Ternate,0.8,127.4,84.69,73,36,10.07,light rain,ID
Sola,-13.88,167.55,84.2,83,75,3.04,broken clouds,VU
Sardulgarh,29.7,75.25,80.35,19,0,6.24,clear sky,IN
Katsuura,35.13,140.3,48.2,93,75,8.05,mist,JP
Corning,42.14,-77.05,41.0,75,90,4.7,overcast clouds,US
Jimma,7.67,36.83,75.33,52,1,0.18,clear sky,ET
Husavik,66.04,-17.34,17.6,67,20,9.17,few clouds,IS
Yambio,4.57,28.4,86.58,49,3,1.01,clear sky,SS
Domingos Martins,-20.36,-40.66,78.8,83,75,9.17,heavy intensity rain,BR
Beringovskiy,63.05,179.32,20.75,93,88,3.31,overcast clouds,RU
Komsomolskiy,40.43,71.72,39.2,48,100,4.7,overcast clouds,UZ
Ostrovnoy,68.05,39.51,30.16,96,100,23.64,light snow,RU
Qostanay,53.17,63.58,12.2,92,90,6.71,light snow,KZ
Nurota,40.56,65.69,32.0,72,2,4.7,clear sky,UZ
Luganville,-15.53,167.17,78.8,94,75,8.59,broken clouds,VU
Laguna,38.42,-121.42,42.8,75,1,1.68,clear sky,US
Jalapa,19.53,-96.92,56.05,88,94,1.21,overcast clouds,MX
Los Llanos De Aridane,28.66,-17.92,62.6,77,20,8.05,few clouds,ES
Charters Towers,-20.1,146.27,92.91,32,44,19.98,scattered clouds,AU
Nampula,-15.12,39.27,86.0,48,40,5.82,scattered clouds,MZ
Iquitos,-3.75,-73.25,73.4,94,75,3.36,light rain,PE
Nata,8.33,-80.52,72.5,85,82,3.38,broken clouds,PA
Vila Franca Do Campo,37.72,-25.43,57.2,67,20,10.29,few clouds,PT
Florianopolis,-27.61,-48.5,71.6,73,75,8.05,broken clouds,BR
Magnitogorsk,53.42,59.05,19.4,85,90,4.47,light snow,RU
Grand Gaube,-20.01,57.66,82.99,61,0,7.0,clear sky,MU
Oktyabrskoye,43.06,44.74,35.6,100,90,2.24,overcast clouds,RU
Allapalli,19.42,80.07,86.09,28,1,2.91,clear sky,IN
Pavilosta,56.89,21.19,42.8,81,97,11.41,overcast clouds,LV
Karratha,-20.74,116.85,96.6,37,0,16.22,clear sky,AU
Flinders,-34.58,150.86,75.0,77,100,4.0,light rain,AU
Dourbali,11.81,15.86,78.67,17,44,6.93,scattered clouds,TD
North Bend,43.41,-124.22,48.2,70,1,4.7,clear sky,US
Bud,39.45,-86.18,32.0,95,1,5.84,clear sky,US
Puerto Lempira,15.27,-83.77,76.62,89,100,3.47,light rain,HN
Mayumba,-3.43,10.66,79.11,85,74,4.79,moderate rain,GA
Aasiaat,68.71,-52.87,30.87,96,100,9.04,overcast clouds,GL
Valdivia,-39.81,-73.25,48.2,76,6,3.36,clear sky,CL
Westport,41.14,-73.36,44.01,100,100,1.39,moderate rain,US
Traralgon,-38.18,146.53,66.99,80,100,2.77,light rain,AU
Melilla,35.29,-2.94,50.0,75,40,18.34,scattered clouds,ES
Zhigansk,66.77,123.37,-19.62,88,81,3.47,broken clouds,RU
Yar-Sale,66.83,70.83,12.34,92,0,15.08,clear sky,RU
Nemuro,43.32,145.57,39.2,44,20,4.7,few clouds,JP
Flores,16.92,-89.9,70.34,97,94,3.31,overcast clouds,GT
Kerman,30.28,57.08,46.4,70,90,11.41,overcast clouds,IR
Cam Ranh,11.92,109.16,78.8,69,40,18.34,scattered clouds,VN
Severo-Kurilsk,50.68,156.12,26.78,91,84,9.22,broken clouds,RU
Fukue,32.69,128.84,51.8,57,20,19.46,few clouds,JP
Hambantota,6.12,81.12,87.8,70,40,9.17,light rain,LK
San Andres,12.58,-81.7,80.6,78,40,14.99,drizzle,CO
Tuatapere,-46.13,167.68,54.0,74,56,17.0,broken clouds,NZ
Ordzhonikidze,52.44,61.74,4.17,94,100,7.36,overcast clouds,KZ
Oromocto,45.84,-66.48,37.4,93,90,4.7,overcast clouds,CA
Alakurtti,66.97,30.35,28.0,94,100,4.0,light snow,RU
Batagay-Alyta,67.8,130.41,-14.06,88,94,1.5,overcast clouds,RU
South Daytona,29.17,-81.0,66.0,93,40,4.7,scattered clouds,US
Tomatlan,19.93,-105.25,68.77,92,69,2.91,broken clouds,MX
Peace River,56.25,-117.29,41.0,81,90,11.41,overcast clouds,CA
Chacabuco,-34.64,-60.47,48.0,79,0,1.01,clear sky,AR
Audru,58.41,24.37,42.01,82,100,15.01,overcast clouds,EE
Smithers,54.78,-127.17,39.2,93,90,4.7,light rain,CA
Jieshi,22.81,115.83,69.01,54,0,1.99,clear sky,CN
Alofi,-19.06,-169.92,78.8,94,100,6.93,light rain,NU
Zaterechnyy,44.79,45.21,35.92,79,79,19.62,broken clouds,RU
Jaque,7.52,-78.17,77.45,82,94,3.31,light rain,PA
Sao Miguel Do Araguaia,-13.28,-50.16,73.26,81,66,1.81,light rain,BR
Nikki,9.94,3.21,73.09,29,50,2.59,scattered clouds,BJ
Yarmouth,41.71,-70.23,50.0,81,75,5.82,moderate rain,US
Ngunguru,-35.62,174.5,64.0,68,10,8.01,clear sky,NZ
Lianran,24.92,102.48,64.0,71,40,17.9,scattered clouds,CN
Krasnoselkup,65.7,82.47,11.59,95,100,17.49,overcast clouds,RU
Hofn,64.25,-15.21,22.23,88,66,18.16,broken clouds,IS
Port-Gentil,-0.72,8.78,78.8,88,75,12.75,broken clouds,GA
Adrar,20.5,-10.07,63.45,37,22,8.88,few clouds,MR
Filingue,14.35,3.32,79.12,17,83,5.12,broken clouds,NE
Olden,61.84,6.81,35.01,86,0,8.05,clear sky,NO
Saint Anthony,45.02,-93.22,28.0,85,1,1.81,clear sky,US
Acarau,-2.89,-40.12,78.91,79,92,15.03,overcast clouds,BR
Lagos,6.58,3.75,78.67,88,7,2.48,clear sky,NG
The Pas,53.83,-101.25,32.0,97,90,11.41,overcast clouds,CA
Faanui,-16.48,-151.75,80.92,78,100,19.6,light rain,PF
Butembo,0.15,29.28,64.54,96,51,1.95,light rain,CD
Jakar,27.55,90.75,43.93,68,94,5.21,overcast clouds,BT
Dedza,-14.38,34.33,71.47,68,5,8.55,clear sky,MW
Berasia,23.63,77.43,86.0,27,0,2.24,clear sky,IN
Camacha,33.08,-16.33,57.2,76,75,19.46,light rain,PT
Batticaloa,7.71,81.69,83.52,74,86,3.44,light rain,LK
Khurai,24.04,78.33,83.68,18,0,3.4,clear sky,IN
Kismayo,-0.36,42.55,83.91,63,4,8.57,clear sky,SO
Namatanai,-3.67,152.43,83.23,72,87,7.16,overcast clouds,PG
Vardo,70.37,31.11,32.29,95,94,24.07,overcast clouds,NO
Christchurch,-43.53,172.63,57.0,71,83,5.82,broken clouds,NZ
Costa Rica,-23.42,-54.65,68.97,98,100,2.51,light rain,BR
Beja,36.73,9.18,62.6,39,40,16.11,scattered clouds,TN
Shubarkuduk,49.14,56.49,13.68,94,13,9.75,few clouds,KZ
